"","X","Animal.ID","Name","Found.Location","Intake.Type","Intake.Condition","Animal.Type","Sex.upon.Intake","Age.upon.Intake","Breed","Color","Intake.Date","Outcome.Subtype","Sex.upon.Outcome","Age.upon.Outcome","date.y","DOB","outcome","kitten","juvenile","young_adult","adult","old","multicolor","black","blue","brown","gray","orange","seal","silver","white","dom_short","dom_med","dom_long","siam","adopted","AgeDaysInt"
"5",5,"A664303","","7903 Taza Trl in Austin (TX)","Stray","Normal","Cat","Intact Male","9 months","Domestic Shorthair Mix","Brown Tabby",2013-10-01,"SCRP","Intact Male","10 months",2013-10-03,2012-12-01,"Transfer",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",304
"8",8,"A664281","","14824 Falling Stone Ln in Travis (TX)","Stray","Normal","Cat","Intact Male","2 years","Domestic Shorthair Mix","Brown Tabby",2013-10-01,"SCRP","Intact Male","2 years",2013-10-02,2011-10-01,"Transfer",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",731
"10",10,"A664282","","14824 Falling Stone Ln in Travis (TX)","Stray","Normal","Cat","Intact Female","2 years","Domestic Longhair Mix","Brown Tabby",2013-10-01,"SCRP","Intact Female","2 years",2013-10-02,2011-10-01,"Transfer",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"0",731
"13",13,"A664284","","1001 Bouldin Ave in Austin (TX)","Stray","Nursing","Cat","Intact Male","0 years","Domestic Shorthair Mix","Black/White",2013-10-01,"In Foster","Intact Male","1 day",2013-10-02,2013-10-01,"Died",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",0
"17",17,"A664290","*Taylor","Austin (TX)","Stray","Normal","Cat","Intact Female","4 weeks","Domestic Shorthair Mix","Tortie",2013-10-01,"","Spayed Female","3 months",2013-12-08,2013-09-01,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",30
"25",25,"A664238","","Outside Jurisdiction","Stray","Normal","Cat","Unknown","4 months","American Shorthair Mix","Black/White",2013-10-01,"Medical","Unknown","4 months",2013-10-01,2013-06-01,"Euthanasia",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0",122
"26",26,"A664271","","Spirit Of Texas in Austin (TX)","Stray","Normal","Cat","Intact Female","1 week","Domestic Shorthair Mix","Orange Tabby",2013-10-01,"Partner","Intact Female","1 week",2013-10-01,2013-09-24,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",7
"27",27,"A664297","*Tybalt","7903 Taza Trl in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Medium Hair Mix","Orange Tabby/White",2013-10-01,"Partner","Intact Male","1 month",2013-10-12,2013-08-25,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"0",37
"28",28,"A664298","*Benvolio","7903 Taza Trl in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Medium Hair Mix","Orange Tabby",2013-10-01,"Partner","Intact Male","1 month",2013-10-12,2013-08-25,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"0",37
"29",29,"A664296","*Mercutio","7903 Taza Trl in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Medium Hair Mix","Brown Tabby",2013-10-01,"Partner","Intact Male","1 month",2013-10-12,2013-08-25,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"0",37
"33",33,"A664262","","4915 Yager Ln in Austin (TX)","Stray","Normal","Cat","Intact Male","1 weeks","Domestic Shorthair Mix","Orange Tabby",2013-10-01,"Partner","Intact Male","1 weeks",2013-10-01,2013-09-22,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",9
"38",38,"A664372","*Halloween","12405 Twin Creek in Travis (TX)","Stray","Normal","Cat","Intact Male","2 months","Domestic Shorthair Mix","Black",2013-10-02,"Partner","Intact Male","2 months",2013-10-10,2013-07-11,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",83
"42",42,"A664344","","2101 Elmont in Austin (TX)","Stray","Nursing","Cat","Intact Male","2 weeks","Domestic Shorthair Mix","White/Blue",2013-10-02,"Partner","Intact Male","2 weeks",2013-10-02,2013-09-17,"Transfer",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"0",15
"51",51,"A664345","","2101 Elmont in Austin (TX)","Stray","Nursing","Cat","Intact Female","2 weeks","Domestic Shorthair Mix","Calico",2013-10-02,"Partner","Intact Female","2 weeks",2013-10-02,2013-09-17,"Transfer",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",15
"52",52,"A664337","","16801 Trevin Cv in Manor (TX)","Stray","Normal","Cat","Intact Female","2 months","Domestic Shorthair Mix","Calico",2013-10-02,"","Spayed Female","2 months",2013-10-08,2013-07-17,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",77
